,headline,snippet,pub_date,url
0,Tesla’s Troubles Raise Questions About Its Invincibility,"As the share price plunges, investors wonder whether the company, led by Elon Musk, can withstand intensifying competition.",2024-03-18T14:26:56+0000,https://www.nytimes.com/2024/03/18/business/tesla-elon-musk-troubles.html
1,Tesla Settles Discrimination Suit With Former Factory Worker,The carmaker and energy company settled with a Black man who had worked at its California factory and had won a $3 million judgment against the company.,2024-03-15T20:36:37+0000,https://www.nytimes.com/2024/03/15/business/tesla-discrimination-lawsuit-settlement.html
2,U.S. Accuses Two Men of Stealing Tesla Trade Secrets,Federal prosecutors said the pair tried to sell technology to manufacture batteries for electric cars that belonged to the company.,2024-03-19T23:14:59+0000,https://www.nytimes.com/2024/03/19/business/tesla-trade-secrets-us-attorney.html
3,Tesla Halts Production in Germany After Suspected Arson,"Police believe the blaze at a high-voltage power pylon had been deliberately set, amid turmoil over the automaker’s plans to expand its assembly plant near Berlin.",2024-03-05T12:56:18+0000,https://www.nytimes.com/2024/03/05/business/tesla-germany-factory-fire.html
4,OpenAI Says Elon Musk Tried to Merge It With Tesla,"In its first public comment since Mr. Musk sued the artificial intelligence lab, OpenAI claims he tried to commercialize its operations years ago.",2024-03-06T03:36:25+0000,https://www.nytimes.com/2024/03/05/technology/openai-elon-musk-tesla.html
5,A Pivot to China Saved Elon Musk. It Also Binds Him to Beijing.,"Tesla and China built a symbiotic relationship, with credits, workers and parts that made Mr. Musk ultrarich. Now, his reliance on the country may give Beijing leverage.",2024-03-27T04:01:33+0000,https://www.nytimes.com/2024/03/27/world/asia/elon-musk-tesla-china.html
6,How Elon Musk Became ‘Kind of Pro-China’,Mr. Musk helped create China’s electric vehicle industry. But he is now facing challenges there as well as scrutiny in the West over his reliance on the country.,2024-03-27T04:01:40+0000,https://www.nytimes.com/2024/03/27/world/asia/musk-china-tesla-explained.html
7,Elon Musk Has a Giant Charity. Its Money Stays Close to Home.,"After making billions in tax-deductible donations to his philanthropy, the owner of Tesla and SpaceX gave away far less than required in some years — and what he did give often supported his own interests.",2024-03-10T07:00:40+0000,https://www.nytimes.com/2024/03/10/us/elon-musk-charity.html
8,Let Tesla Expand? Germans Vote No.,"A local town’s vote against the U.S. automaker’s proposed expansion is nonbinding, but citizens expect it to be honored.",2024-02-21T16:13:13+0000,https://www.nytimes.com/2024/02/21/business/tesla-germany-plant.html
9,BMW Is a Surprise Winner in Electric Vehicles,"Once considered a laggard, the German luxury carmaker is one of only a few established automakers that has been able to compete effectively against Tesla.",2024-03-09T10:02:32+0000,https://www.nytimes.com/2024/03/09/business/bmw-electric-vehicles.html
10,Toyota’s Hybrid-First Strategy Is Delivering Big Profits,"Toyota, the world’s largest automaker, has been criticized for selling few electric vehicles, but its decision to focus on hybrids is paying off financially.",2024-03-09T10:02:31+0000,https://www.nytimes.com/2024/03/09/business/toyotas-hybrid-electric-vehicles.html
11,Let Tesla Expand? Three German Teens Have a Few Thoughts.,The U.S. automaker’s plan to enlarge its operations outside Berlin has divided local residents. Some worry about the environmental costs; others see job prospects.,2024-02-19T05:01:21+0000,https://www.nytimes.com/2024/02/19/world/europe/tesla-germany-expansion.html
12,Tesla’s Chair Under Scrutiny for Oversight of Elon Musk,"Robyn Denholm, who has led the electric car company’s board for more than five years, has been criticized for not serving as a check on Mr. Musk.",2024-02-15T05:01:08+0000,https://www.nytimes.com/2024/02/15/business/teslas-board-elon-musk-robyn-denholm.html
13,Behind Apple’s Doomed Car Project: False Starts and Wrong Turns,Internal disagreements over the direction of the Apple car led the effort to sputter for years before it was canceled this week.,2024-02-28T23:02:22+0000,https://www.nytimes.com/2024/02/28/technology/behind-the-apple-car-dead.html
14,How Apple Used its Car Project to Drive Wider Innovation,"The tech giant has dropped its plans to develop an electric vehicle, but some of the development at the heart of the effort has helped power other products and services.",2024-02-28T13:06:19+0000,https://www.nytimes.com/2024/02/28/business/dealbook/apple-car-project-to-drive-wider-innovation.html
15,"How China Built BYD, Its Tesla Killer","The leading Chinese electric vehicle company, with origins as a battery maker, has posted two years of million-car growth in sales.",2024-02-12T05:01:59+0000,https://www.nytimes.com/2024/02/12/business/byd-china-electric-vehicle.html
16,"Stop Wearing Vision Pro Goggles While Driving Your Tesla, U.S. Says","Videos, many of them stunts or jokes, of people wearing Apple’s new virtual reality headset while driving Teslas in Autopilot mode prompted officials to issue warnings.",2024-02-06T22:07:26+0000,https://www.nytimes.com/2024/02/06/technology/personaltech/apple-vision-pro-tesla.html
17,Elon Musk Extends His Anywhere-but-Delaware Campaign,The billionaire moved SpaceX’s incorporation out of the state. Wall Street is wondering if Tesla will follow suit.,2024-02-15T13:06:25+0000,https://www.nytimes.com/2024/02/15/business/dealbook/musk-spacex-delaware-tesla.html
18,"SpaceX Is Now Incorporated in Texas, Elon Musk Says","The billionaire said his private rocket company was reincorporating from Delaware, where he recently lost a case over his pay package as head of Tesla.",2024-02-15T06:40:22+0000,https://www.nytimes.com/2024/02/15/business/spacex-delaware-texas.html
19,Tesla Recalls About 2.2 Million Electric Vehicles Over Warning Light Font Size,The vehicles were recalled because the font size on a warning lights panel was too small. Tesla will address the issue with a software update.,2024-02-02T12:53:28+0000,https://www.nytimes.com/2024/02/02/business/tesla-recall-us-vehicles.html
20,Elon Musk’s $50 Billion Tesla Pay Was Struck Down. What Happens Next?,"The company’s board will now decide whether to appeal the decision, change where Tesla is incorporated or negotiate a new pay package.",2024-01-31T21:25:41+0000,https://www.nytimes.com/2024/01/31/business/tesla-elon-musk-pay-package.html
21,Elon Musk’s Tesla Pay Package Is Voided by Judge,"Shareholders had sued, arguing that Mr. Musk’s compensation — which helped make him the world’s richest person — was excessive.",2024-01-30T22:12:10+0000,https://www.nytimes.com/2024/01/30/business/elon-musk-tesla-pay-package.html
22,"How Ford’s F-150 Lightning, Once in Hot Demand, Lost Its Luster","Some buyers said the electric Lightning did not meet expectations, and Ford has slashed its production plans for the pickup because sales are lagging.",2024-02-07T10:02:53+0000,https://www.nytimes.com/2024/02/07/business/fords-f150-lightning-electric-pickup-trucks.html
